day,execution_date,scope,confirmed_outcome,evidence_level,durable_authority,next_action
J1,2026-07-16,"Activation, projet, GSC, portefeuille","Starter activé; projet 9361004; portefeuille 50/50 ajouté","reconstructed_from_later_reconciliation","operational-history and portfolio CSV","Do not change locations; refresh live Limits & Usage before paid work"
J2,2026-07-17,"Rank Tracker and Site Audit baseline","Mobile and desktop baselines retained; first technical baseline retained","reconstructed_raw_missing","operational-history","Use dated later snapshots; do not recreate missing raw evidence"
J3,2026-07-18,"Content Opportunities protocol","Zero-waste protocol, freeze rules and English URL distinction retained","reconciled","operational-history","Use final J4 ledger; provisional J3 ledgers abandoned"
J4,2026-07-19,"Content Opportunities plus IT and ES competitors","Six Content reports treated once; IT and ES competitors analyzed","confirmed_private_summary","operational-history","Do not reopen 22 treated reports without a new question"
J5,2026-07-20,"EN competitors","dreambible.com and wakefully.io; eight reports","confirmed_private_summary","operational-history","Reuse conclusions; no duplicate report opening"
J6,2026-07-21,"DE competitors","traum-deutung.de and traumsymbole-traumdeutung.de; eight reports","confirmed_private_summary","operational-history","Preserve failed access as unknown, not SEO evidence"
J7,2026-07-22,"FR competitors","oniri.io and france-mineraux.fr; eight reports","confirmed_private_summary","operational-history","No backlink target without manual source validation"
J8,2026-07-23,"GSC cross-analysis and content-quality reconciliation","Historical workbook retained; 25 editorial files corrected across six families","confirmed_versioned_and_private","operational-history plus wave-2 freeze file","Respect per-page freezes and complete GSC windows"
J9,2026-07-24,"Transition to final scoring","J9 authority superseded by J10 shortlist","reconciled","operational-history","Use J10 and J14 for decisions"
J10,2026-07-26,"Fresh GSC, shortlist, freeze and cannibalization","5 principals plus 3 reserves; no harmful cannibalization proven","confirmed_versioned_and_private","j10 files plus operational-history","Keep five pages frozen until 2026-08-08"
J11,2026-07-27,"Brief prevalidation","scuola and ascensor prevalidated only","confirmed_private_summary","decisions register","No local edit without a new authorization"
J12,2026-07-27,"Measurement protocol","Page CTR is primary KPI; J+7/J+28/J+42 protocol","confirmed_private_summary","operational-history","Refresh baseline immediately before any publication"
J13,2026-07-28,"Metadata-only technical contract","Only document title and meta description may change","confirmed_private_summary","decisions register","Implement optional metadata fields only after authorization"
J14,2026-07-29,"Final specs, fresh GSC and Site Audit read","50/50; two GSC windows; Health Score 100 on 1587 URLs","confirmed_private_summary","operational-history","Monitoring phase; no impact claim because no test published"
J15,2026-07-30,"Read-only monitoring","Credits 53 to 53; no new Rank Tracker snapshot; no new crawl","confirmed_private_summary","operational-history","Wait for a real weekly snapshot and 2026-08-08 GSC gate"
J16,2026-07-31,"Rank Tracker recheck","Two mobile checks; no snapshot after 2026-07-29; zero connector units","confirmed_private_summary","operational-history","Do not repeat desktop without a new snapshot"
J17,2026-08-01,"Night-noise article freeze check","German article moved to monitor_only; live 200/indexable/canonical; GSC sample too small","confirmed_private_summary","operational-history","J18 confounder log; J20 GSC batch"
