priority,cluster,market,keyword,kd,volume,gsv,traffic_potential,global_traffic_potential,status,next_action
P1,turtle,IT,sognare tartarughe,0,1200,1200,800,800,GO_NEXT_WAVE,"create one localized owner after wave 1 is live"
P1,turtle,DE,traumdeutung schildkröte,0,250,300,90,100,GO_NEXT_WAVE,"keep animal guide as hub"
P1,turtle,FR,rêver de tortue,0,100,200,500,500,GO_NEXT_WAVE,"exclude predictive claims"
P1,turtle,ES,soñar con tortugas,0,600,5200,300,3500,GO_NEXT_WAVE,"create one symbol owner"
P1,turtle,US,dreaming about turtles,0,100,200,1200,1400,GO_NEXT_WAVE,"create one symbol owner"
P1,crocodile,IT,sognare coccodrilli,0,700,700,600,600,GO_NEXT_WAVE,"move precise intent to detail page; keep guide as hub"
P1,crocodile,DE,traumdeutung krokodil,0,500,700,200,200,GO_NEXT_WAVE,"move precise intent to detail page; keep guide as hub"
P1,crocodile,FR,rêver de crocodile,0,150,250,1200,1200,GO_NEXT_WAVE,"cover threat pursuit house and harmless scenarios"
P1,crocodile,ES,soñar con cocodrilos,0,900,14000,350,9200,GO_NEXT_WAVE,"create one symbol owner"
P1,crocodile,US,dreaming about crocodiles,8,40,350,1000,3300,GO_NEXT_WAVE,"create one symbol owner"
P1,lice,IT,sognare pidocchi,0,800,800,1400,1400,GO_NEXT_WAVE,"exclude money and lottery as primary intent"
P1,lice,DE,traumdeutung läuse,0,200,250,30,40,GO_NEXT_WAVE,"create one symbol owner"
P1,lice,FR,rêver de poux,0,150,200,200,250,GO_NEXT_WAVE,"create one symbol owner"
P1,lice,ES,soñar con piojos,18,1600,31000,600,12000,GO_NEXT_WAVE,"SERP has a DR 0 result at position 10"
P1,lice,US,dreaming about lice,0,30,70,200,350,GO_NEXT_WAVE,"create one symbol owner"
P2,wasp,IT,sognare vespe,0,200,250,100,100,GO_BACKLOG,"validate scenarios then brief"
P2,wasp,DE,traumdeutung wespen,0,200,200,150,150,GO_BACKLOG,"validate scenarios then brief"
P2,wasp,FR,rêver de guêpes,NA,10,20,NA,NA,GO_BACKLOG,"low local demand; share canonical concept only"
P2,wasp,ES,soñar con avispas,0,600,3000,250,1000,GO_BACKLOG,"prioritize Spanish brief"
P2,wasp,US,dreaming about wasps,1,50,150,200,300,GO_BACKLOG,"validate scenarios then brief"
P2,cemetery,IT,sognare cimitero,0,600,600,600,600,BRIEF_READY_HOLD_J7,"metrics revalidated 2026-08-13 (J29); five-locale brief in j29-j31-cemetery-implementation-brief-2026-08-13.md; no owner before 2026-08-15 checkpoint"
P2,cemetery,DE,traumdeutung friedhof,0,150,200,60,60,BRIEF_READY_HOLD_J7,"metrics revalidated 2026-08-13 (J29); shared place-symbol brief ready; no owner before 2026-08-15 checkpoint"
P2,cemetery,FR,rêver de cimetière,0,60,150,300,300,BRIEF_READY_HOLD_J7,"metrics from 2026-08-11, not revalidated (API layer exhausted); shared place-symbol brief ready; no owner before 2026-08-15 checkpoint"
P2,cemetery,ES,soñar con cementerio,0,250,4700,150,4300,BRIEF_READY_HOLD_J7,"volume/TP revalidated 2026-08-13 (J29); fresh SERP blocked at 0 API unit; shared brief ready; no owner before 2026-08-15 checkpoint"
P2,cemetery,US,dreaming about cemetery,0,10,20,60,100,BRIEF_READY_HOLD_J7,"metrics from 2026-08-11, not revalidated (API layer exhausted); shared brief ready; no owner before 2026-08-15 checkpoint"
P2,bread,IT,sognare pane,0,700,700,1000,1000,GO_BACKLOG,"brief food and sharing scenarios"
P2,bread,DE,traumdeutung brot,NA,80,100,NA,NA,GO_BACKLOG,"low confidence country metric"
P2,bread,FR,rêver de pain,0,70,150,200,200,GO_BACKLOG,"brief food and sharing scenarios"
P2,bread,ES,soñar con pan,0,250,3900,150,1900,GO_BACKLOG,"brief food and sharing scenarios"
P2,bread,US,dreaming about bread,0,10,40,20,30,GO_BACKLOG,"brief food and sharing scenarios"
P2,eggs,IT,sognare uova,6,900,900,400,400,GO_BACKLOG,"brief intact broken cooking and hatching scenarios"
P2,eggs,DE,traumdeutung eier,0,90,100,60,60,GO_BACKLOG,"brief intact broken cooking and hatching scenarios"
P2,eggs,FR,rêver d'œufs,NOT_INDEXED,NA,NA,NA,NA,GO_BACKLOG,"retain as shared locale only until demand proof"
P2,eggs,ES,soñar con huevos,0,250,3400,250,4100,GO_BACKLOG,"brief intact broken cooking and hatching scenarios"
