PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description patch,Meta description patch status,Meta description length,No. of meta descriptions,Is indexable page
24,https://noctalia.app/de/,Traumtagebuch mit Traumillustrationen & Deutung | Noctalia,text/html; charset=utf-8,false,200,0,0,"Nimm deine Träume per Sprache auf, erstelle Traumillustrationen und entdecke Bedeutungen und Muster in deinen Nächten. Starte noch heute dein kostenloses Traumtagebuch!",,,168,1,true
24,https://noctalia.app/it/blog/,Risorse | Noctalia - Consigli e guide per i sogni,text/html; charset=utf-8,false,200,0,0,"Esplora le risorse Noctalia sui sogni: tecniche di richiamo, significati dei simboli, guida ai sogni lucidi, scienza del sonno e consigli pratici per ricordare i tuoi sogni.",,,173,1,true
21,https://noctalia.app/de/blog/traumtagebuch-erinnerung-methoden-und-routinen,"Traumtagebuch: Rückruf, Methoden und Routinen | Noctalia",text/html; charset=utf-8,false,200,0,0,"Traumtagebuch-Hub: Erfahren Sie, wie Sie sich an Ihre Träume erinnern, die Erinnerung verbessern, den REM-Schlaf verstehen und eine nachhaltige Tagebuchroutine aufbauen.",,,169,1,true
21,https://noctalia.app/de/blog/warum-traeumen-wir-die-wissenschaft-hinter-ihren-naechtlichen-abenteuern,Warum träumen wir? Die Wissenschaft hinter Ihren nächtlichen Abenteuern | Noctalia,text/html; charset=utf-8,false,200,0,0,"Entdecken Sie die faszinierende Wissenschaft des Träumens. Erfahren Sie mehr über wichtige Theorien, die Gehirnaktivität während Träumen und was Ihre Träume über das Bewusstsein verraten.",,,187,1,true
21,https://noctalia.app/de/blog/traeume-von-schlangen-wovor-ihr-unterbewusstsein-sie-wirklich-warnt,Schlangenträume: Verborgene Warnungen entschlüsselt | Noctalia,text/html; charset=utf-8,false,200,0,0,"Erscheinen in Ihren Träumen Schlangen? Entschlüsseln Sie, ob sie Heilung, Gefahr oder Transformation symbolisieren. Entdecken Sie 8 Schlangenszenarien und ihre mächtigen verborgenen Bedeutungen.",,,194,1,true
21,https://noctalia.app/it/blog/sonno-rem-e-sogni-comprendere-il-ripristino-notturno-del-cervello,Sonno REM: perché il tuo cervello ha bisogno dei sogni | Noctalia,text/html; charset=utf-8,false,200,0,0,Esplora la scienza del sonno REM e il suo ruolo vitale nei sogni. Scopri come funzionano i cicli del sonno e ottimizza le fasi REM per migliorare la memoria e il ricordo dei sogni.,,,180,1,true
21,https://noctalia.app/de/blog/leitfaden-zum-klartraeumen-fuer-anfaenger-uebernehmen-sie-die-kontrolle-ueber-ihre-naechte,Klares Träumen: Meistere die Traumkontrolle heute Abend | Noctalia,text/html; charset=utf-8,false,200,0,0,"Übernehmen Sie die Kontrolle über Ihre Träume mit den Techniken MILD, WILD und WBTB. Lernen Sie Realitätschecks, Stabilisierungsmethoden und bewährte Tipps, um innerhalb weniger Wochen Klarheit zu erlangen.",,,206,1,true
21,https://noctalia.app/de/blog/trauminkubation-wie-sie-heute-abend-genau-das-traeumen-was-sie-wollen,Trauminkubation: Programmieren Sie Ihre Träume heute Abend | Noctalia,text/html; charset=utf-8,false,200,0,0,"Meistern Sie die Trauminkubation mit 5 bewährten Techniken. Programmieren Sie Ihre Träume, um Probleme zu lösen, die Kreativität zu fördern und Führung zu erhalten, während Sie schlafen.",,,186,1,true
21,https://noctalia.app/it/blog/significato-dei-sogni-in-volo-cosa-significa-volare-nei-tuoi-sogni,Sogni volanti: svela il loro potente significato - Noctalia,text/html; charset=utf-8,false,200,0,0,"Volare nel cielo nei sogni? Decodifica cosa simboleggia il volo in termini di libertà, ambizione e controllo. Scopri cosa rivelano i modelli di volo sulla tua vita.",,,164,1,true
21,https://noctalia.app/it/blog/incubazione-dei-sogni-come-sognare-esattamente-cio-che-desideri-stasera,Incubazione dei sogni: programma i tuoi sogni stasera | Noctalia,text/html; charset=utf-8,false,200,0,0,"Padroneggia l'incubazione dei sogni con 5 tecniche collaudate. Programma i tuoi sogni per risolvere problemi, stimolare la creatività e ricevere guida mentre dormi.",,,164,1,true
